fighter_id,canonical_name,display_name,alias_name,identity_source
ufcp-064ef783-c2db-57d5-903c-e981fc9bd390,alex da silva,Alex Da Silva,Alex Da Silva,UFC-DataLab/UFCStats-derived name
ufcp-064ef783-c2db-57d5-903c-e981fc9bd390,alex da silva,Alex Da Silva,ALEX DA SILVA,UFC-DataLab/UFCStats-derived name
ufcp-5f2a13db-04e4-5d60-ba19-8e349be0abb3,alex dunworth,Alex Dunworth,Alex Dunworth,UFC-DataLab/UFCStats-derived name
ufcp-36bbb2c8-7d2c-538b-86b9-067e880d714e,alex enlund,Alex Enlund,Alex Enlund,UFC-DataLab/UFCStats-derived name
ufcp-85d67777-6e31-559c-81b8-cb7d7c172dfb,alex garcia,Alex Garcia,ALEX GARCIA,UFC-DataLab/UFCStats-derived name
ufcp-85d67777-6e31-559c-81b8-cb7d7c172dfb,alex garcia,Alex Garcia,Alex Garcia,UFC-DataLab/UFCStats-derived name
ufcp-dedc13a9-28bd-5505-8d14-514334a23a2b,alex gilpin,Alex Gilpin,Alex Gilpin,UFC-DataLab/UFCStats-derived name
ufcp-39b1ae9d-15bd-5201-8b65-b9cc07fee4fa,alex gorgees,Alex Gorgees,Alex Gorgees,UFC-DataLab/UFCStats-derived name
ufcp-39b1ae9d-15bd-5201-8b65-b9cc07fee4fa,alex gorgees,Alex Gorgees,ALEX GORGEES,UFC-DataLab/UFCStats-derived name
ufcp-8d4d5c30-ab06-58eb-a7a3-a7cc223e7b0d,alex higley,Alex Higley,Alex Higley,UFC-DataLab/UFCStats-derived name
ufcp-98d3d53a-34b9-5ab8-afaa-fec12bf7d4f4,alex huddleston,Alex Huddleston,Alex Huddleston,UFC-DataLab/UFCStats-derived name
ufcp-367eab57-e181-5b23-8c82-19fcef421612,alex hunter,Alex Hunter,Alex Hunter,UFC-DataLab/UFCStats-derived name
ufcp-367eab57-e181-5b23-8c82-19fcef421612,alex hunter,Alex Hunter,ALEX HUNTER,UFC-DataLab/UFCStats-derived name
ufcp-2f33a4bd-6de0-5ba0-a498-e21182be59db,alex karalexis,Alex Karalexis,Alex Karalexis,UFC-DataLab/UFCStats-derived name
ufcp-2f33a4bd-6de0-5ba0-a498-e21182be59db,alex karalexis,Alex Karalexis,ALEX KARALEXIS,UFC-DataLab/UFCStats-derived name
